case,activity,timestamp,enabled_activities
90,c,2019-01-01T13:02:00+00:00,"c, d, e"
90,d,2019-01-01T13:03:00+00:00,"d, e"
90,e,2019-01-01T13:04:00+00:00,e
90,f,2019-01-01T13:05:00+00:00,f
91,a,2019-01-01T13:00:00+00:00,a
91,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
91,c,2019-01-01T13:02:00+00:00,"c, d, e"
91,d,2019-01-01T13:03:00+00:00,"d, e"
91,e,2019-01-01T13:04:00+00:00,e
91,f,2019-01-01T13:05:00+00:00,f
92,a,2019-01-01T13:00:00+00:00,a
92,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
92,c,2019-01-01T13:02:00+00:00,"c, d, e"
92,d,2019-01-01T13:03:00+00:00,"d, e"
92,e,2019-01-01T13:04:00+00:00,e
92,f,2019-01-01T13:05:00+00:00,f
93,a,2019-01-01T13:00:00+00:00,a
93,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
93,c,2019-01-01T13:02:00+00:00,"c, d, e"
93,d,2019-01-01T13:03:00+00:00,"d, e"
93,e,2019-01-01T13:04:00+00:00,e
93,f,2019-01-01T13:05:00+00:00,f
94,a,2019-01-01T13:00:00+00:00,a
94,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
94,c,2019-01-01T13:02:00+00:00,"c, d, e"
94,d,2019-01-01T13:03:00+00:00,"d, e"
94,e,2019-01-01T13:04:00+00:00,e
94,f,2019-01-01T13:05:00+00:00,f
95,a,2019-01-01T13:00:00+00:00,a
95,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
95,c,2019-01-01T13:02:00+00:00,"c, d, e"
95,d,2019-01-01T13:03:00+00:00,"d, e"
95,e,2019-01-01T13:04:00+00:00,e
95,f,2019-01-01T13:05:00+00:00,f
96,a,2019-01-01T13:00:00+00:00,a
96,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
96,c,2019-01-01T13:02:00+00:00,"c, d, e"
96,d,2019-01-01T13:03:00+00:00,"d, e"
96,e,2019-01-01T13:04:00+00:00,e
96,f,2019-01-01T13:05:00+00:00,f
97,a,2019-01-01T13:00:00+00:00,a
97,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
97,c,2019-01-01T13:02:00+00:00,"c, d, e"
97,d,2019-01-01T13:03:00+00:00,"d, e"
97,e,2019-01-01T13:04:00+00:00,e
97,f,2019-01-01T13:05:00+00:00,f
98,a,2019-01-01T13:00:00+00:00,a
98,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
98,c,2019-01-01T13:02:00+00:00,"c, d, e"
98,d,2019-01-01T13:03:00+00:00,"d, e"
98,e,2019-01-01T13:04:00+00:00,e
98,f,2019-01-01T13:05:00+00:00,f
99,a,2019-01-01T13:00:00+00:00,a
99,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
99,c,2019-01-01T13:02:00+00:00,"c, d, e"
99,d,2019-01-01T13:03:00+00:00,"d, e"
99,e,2019-01-01T13:04:00+00:00,e
99,f,2019-01-01T13:05:00+00:00,f
100,a,2019-01-01T13:00:00+00:00,a
100,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
100,c,2019-01-01T13:02:00+00:00,"c, d, e"
100,d,2019-01-01T13:03:00+00:00,"d, e"
100,e,2019-01-01T13:04:00+00:00,e
100,f,2019-01-01T13:05:00+00:00,f
