case,activity,timestamp,enabled_activities
83,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
83,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
83,d,2019-01-01T13:03:00+00:00,"d, e, g"
83,e,2019-01-01T13:04:00+00:00,"e, g"
83,f,2019-01-01T13:05:00+00:00,"f, g"
84,a,2019-01-01T13:00:00+00:00,a
84,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
84,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
84,d,2019-01-01T13:03:00+00:00,"d, e, g"
84,e,2019-01-01T13:04:00+00:00,"e, g"
84,f,2019-01-01T13:05:00+00:00,"f, g"
85,a,2019-01-01T13:00:00+00:00,a
85,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
85,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
85,d,2019-01-01T13:03:00+00:00,"d, e, g"
85,e,2019-01-01T13:04:00+00:00,"e, g"
85,f,2019-01-01T13:05:00+00:00,"f, g"
86,a,2019-01-01T13:00:00+00:00,a
86,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
86,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
86,d,2019-01-01T13:03:00+00:00,"d, e, g"
86,e,2019-01-01T13:04:00+00:00,"e, g"
86,f,2019-01-01T13:05:00+00:00,"f, g"
87,a,2019-01-01T13:00:00+00:00,a
87,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
87,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
87,d,2019-01-01T13:03:00+00:00,"d, e, g"
87,e,2019-01-01T13:04:00+00:00,"e, g"
87,f,2019-01-01T13:05:00+00:00,"f, g"
88,a,2019-01-01T13:00:00+00:00,a
88,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
88,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
88,d,2019-01-01T13:03:00+00:00,"d, e, g"
88,e,2019-01-01T13:04:00+00:00,"e, g"
88,f,2019-01-01T13:05:00+00:00,"f, g"
89,a,2019-01-01T13:00:00+00:00,a
89,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
89,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
89,d,2019-01-01T13:03:00+00:00,"d, e, g"
89,e,2019-01-01T13:04:00+00:00,"e, g"
89,f,2019-01-01T13:05:00+00:00,"f, g"
90,a,2019-01-01T13:00:00+00:00,a
90,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
90,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
90,d,2019-01-01T13:03:00+00:00,"d, e, g"
90,e,2019-01-01T13:04:00+00:00,"e, g"
90,f,2019-01-01T13:05:00+00:00,"f, g"
91,a,2019-01-01T13:00:00+00:00,a
91,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
91,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
91,d,2019-01-01T13:03:00+00:00,"d, e, g"
91,e,2019-01-01T13:04:00+00:00,"e, g"
91,f,2019-01-01T13:05:00+00:00,"f, g"
92,a,2019-01-01T13:00:00+00:00,a
92,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
92,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
92,d,2019-01-01T13:03:00+00:00,"d, e, g"
92,e,2019-01-01T13:04:00+00:00,"e, g"
92,f,2019-01-01T13:05:00+00:00,"f, g"
93,a,2019-01-01T13:00:00+00:00,a
93,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
93,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
93,d,2019-01-01T13:03:00+00:00,"d, e, g"
93,e,2019-01-01T13:04:00+00:00,"e, g"
93,f,2019-01-01T13:05:00+00:00,"f, g"
94,a,2019-01-01T13:00:00+00:00,a
94,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
94,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
94,d,2019-01-01T13:03:00+00:00,"d, e, g"
94,e,2019-01-01T13:04:00+00:00,"e, g"
94,f,2019-01-01T13:05:00+00:00,"f, g"
95,a,2019-01-01T13:00:00+00:00,a
95,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
95,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
95,d,2019-01-01T13:03:00+00:00,"d, e, g"
95,e,2019-01-01T13:04:00+00:00,"e, g"
95,f,2019-01-01T13:05:00+00:00,"f, g"
96,a,2019-01-01T13:00:00+00:00,a
96,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
96,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
96,d,2019-01-01T13:03:00+00:00,"d, e, g"
96,e,2019-01-01T13:04:00+00:00,"e, g"
96,f,2019-01-01T13:05:00+00:00,"f, g"
97,a,2019-01-01T13:00:00+00:00,a
97,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
97,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
97,d,2019-01-01T13:03:00+00:00,"d, e, g"
97,e,2019-01-01T13:04:00+00:00,"e, g"
97,f,2019-01-01T13:05:00+00:00,"f, g"
98,a,2019-01-01T13:00:00+00:00,a
98,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
98,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
98,d,2019-01-01T13:03:00+00:00,"d, e, g"
98,e,2019-01-01T13:04:00+00:00,"e, g"
98,f,2019-01-01T13:05:00+00:00,"f, g"
99,a,2019-01-01T13:00:00+00:00,a
99,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
99,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
99,d,2019-01-01T13:03:00+00:00,"d, e, g"
99,e,2019-01-01T13:04:00+00:00,"e, g"
99,f,2019-01-01T13:05:00+00:00,"f, g"
100,a,2019-01-01T13:00:00+00:00,a
100,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
100,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
100,d,2019-01-01T13:03:00+00:00,"d, e, g"
100,g,2019-01-01T13:04:00+00:00,"e, g"
